'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',night,Other,True,2,True,'Nivedita Roy',4,ITCC,3
FXO_BR_US_BusinessReadiness,Computer,Application,Other,afternoon,Other,False,2,False,'Matthew Gonderinger',3,Standard,2
Other,Scanner,Application,'FedEx Express',night,ID5163721,True,2,True,'Divakar Durgapal',3,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
Other,Database,Application,'FedEx Express',night,ID5285658,True,3,True,'Shafi Ahmed',4,ITCC,2
Other,Computer,Application,'FedEx Freight Inc.',afternoon,ID973921,True,3,True,'Stephen Barch',4,ITCC,2
Other,Computer,Application,Other,morning,Other,False,3,True,Other,5,ITCC,3
FXS_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Other,Application,'FedEx Services',afternoon,Other,True,3,True,'Marconius Donahue',5,ITCC,3
Other,Computer,Application,'FedEx Services',afternoon,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_BR_US_BusinessReadiness,Computer,Application,Other,afternoon,Other,False,2,False,'Matthew Gonderinger',3,Standard,2
Other,Other,Application,Other,night,ID5163721,True,2,True,'Divakar Durgapal',3,ITCC,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,1,True,'Stephen Barch',2,ITCC,2
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',2,Standard,1
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Other,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,Other,False,3,False,Other,5,Standard,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,3,True,'Brad Moore',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,'Communication Device',Application,'FedEx Express',night,Other,True,3,True,'David Light',4,ITCC,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',2,Standard,2
Other,Other,Application,'FedEx Services',afternoon,Other,True,3,True,'Marconius Donahue',5,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Database,Application,Other,afternoon,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,3,True,'Brad Moore',5,ITCC,3
Other,'Communication Device',Application,'FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',4,ITCC,2
Other,Server,Application,'FedEx Services',night,ID5285658,True,3,True,'Shafi Ahmed',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,Standard,2
