'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,Other,False,1,False,'Naveen Kumar',1,Standard,3
Other,Computer,Application,'FedEx Services',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,True,1,False,'Admin-Arturo Reyes',1,Standard,3
Other,Server,Application,'FedEx Services',evening,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Network,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Server,Infrastructure,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.25,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID5305519,True,0.5,False,'Ashish Bisht',0.5,ITCC,2
Other,Server,Application,'FedEx Services',evening,Other,True,0,True,'Sean Green',0.25,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID5163721,True,1,True,'Divakar Durgapal',1,ITCC,3
Other,Computer,Infrastructure,'FedEx Ground',morning,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
Other,'Communication Device',Application,Other,afternoon,ID973921,False,1,False,'Stephen Barch',0.5,Proactive,1
Other,Server,Application,'FedEx Express',night,ID5163721,True,0,True,'Divakar Durgapal',0.25,ITCC,2
Other,Database,Infrastructure,'FedEx Services',evening,ID5305519,True,1,True,'Ashish Bisht',0.75,ITCC,2
Other,Computer,Application,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Server,Application,'FedEx Services',evening,Other,True,1,True,'Sandrina Khongjee',0.75,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,0,True,'Stephen Barch',0.25,ITCC,2
Other,Other,Application,'FedEx Services',night,ID5163721,True,0,True,'Divakar Durgapal',0,ITCC,1
Other,Server,Hardware,'FedEx Express',morning,Other,True,0.5,True,'Mandeep Khati',0.5,ITCC,2
Other,'Communication Device','Inquiry / Help','FedEx Office',morning,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
FSC_ITL3O2STIBCO,Database,Application,Other,afternoon,ID5069733,True,1,False,'Admin-Arturo Reyes',1,Standard,3
Other,Server,Infrastructure,'FedEx Services',morning,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Server,'Inquiry / Help','FedEx Express',night,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.5,ITCC,2
Other,Computer,Application,'FedEx Freight Inc.',afternoon,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,Other,False,1,False,'Naveen Kumar',1,Standard,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,Other,False,1,False,'Naveen Kumar',1,Standard,3
Other,Server,Application,'FedEx Services',morning,ID973921,True,0,True,'Stephen Barch',0.25,ITCC,2
FSC_ITL3O2STIBCO,Computer,Application,Other,morning,Other,False,1,False,'Naveen Kumar',1,Standard,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,Other,False,1,False,'Naveen Kumar',1,Standard,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,1,True,'Brad Moore',1,ITCC,3
